Length	Freq
1	52
2	132
3	812
4	3261
5	6793
6	11570
7	15308
8	16298
9	14893
10	12007
11	8777
12	5730
13	3347
14	1724
15	906
16	395
17	178
18	72
19	31
20	10
21	3
22	5
23	1
